 redshift sorgente =   1.0000000E-03 fact PopIII=  0.0000000E+00
  4.1785937E-02  4.1785938E+10  2.2210406E-08   1.000000    
  5.0237749E-02  5.0237747E+10  1.1046029E-05   1.000011    
  6.0399055E-02  6.0399055E+10  6.3719090E-05   1.000064    
  7.2615631E-02  7.2615633E+10  1.8114554E-04   1.000181    
  8.7303191E-02  8.7303193E+10  3.8681147E-04   1.000387    
  0.1049615      1.0496152E+11  7.1697100E-04   1.000717    
  0.1261915      1.2619151E+11  1.2470554E-03   1.001248    
  0.1517156      1.5171556E+11  2.0926287E-03   1.002095    
  0.1824022      1.8240222E+11  3.3869988E-03   1.003393    
  0.2192957      2.1929571E+11  5.2990667E-03   1.005313    
  0.2636514      2.6365143E+11  8.0386037E-03   1.008071    
  0.3169787      3.1697872E+11  1.1779475E-02   1.011849    
  0.3810923      3.8109227E+11  1.6636685E-02   1.016776    
  0.4581737      4.5817368E+11  2.2617197E-02   1.022875    
  0.5508459      5.5084594E+11  2.9549815E-02   1.029991    
  0.6622624      6.6226245E+11  3.7164424E-02   1.037864    
  0.7962146      7.9621456E+11  4.5217626E-02   1.046255    
  0.9572604      9.5726043E+11  5.3271726E-02   1.054716    
   1.150880      1.1508802E+12  6.0913343E-02   1.062807    
   1.383662      1.3836624E+12  6.7954242E-02   1.070316    
   1.663528      1.6635279E+12  7.4146889E-02   1.076965    
   2.000000      2.0000005E+12  7.9498202E-02   1.082744    
   2.404530      2.4045295E+12  8.4276646E-02   1.087930    
   2.890880      2.8908803E+12  8.8851899E-02   1.092919    
   3.475603      3.4756027E+12  9.4397634E-02   1.098997    
   4.178594      4.1785934E+12  0.1021814       1.107584    
   5.023774      5.0237743E+12  0.1132978       1.119965    
   6.039905      6.0399047E+12  0.1291829       1.137898    
   7.261563      7.2615629E+12  0.1500650       1.161910    
   8.730319      8.7303190E+12  0.1801986       1.197455    
   10.49615      1.0496151E+13  0.2229803       1.249796    
   12.61915      1.2619150E+13  0.2864833       1.331736    
   15.17155      1.5171555E+13  0.3854721       1.470308    
   18.24022      1.8240221E+13  0.5361098       1.709344    
   21.92957      2.1929568E+13  0.7736821       2.167733    
   26.36514      2.6365141E+13   1.143322       3.137172    
   31.69787      3.1697872E+13   1.703473       5.492990    
   38.10922      3.8109224E+13   2.513384       12.34664    
   45.81736      4.5817361E+13   3.608747       36.91975    
   55.08458      5.5084583E+13   4.958122       142.3263    
   66.22623      6.6226236E+13   6.490137       658.6133    
   79.62144      7.9621446E+13   8.093437       3272.918    
   95.72604      9.5726038E+13   9.635488       15298.16    
   115.0880      1.1508801E+14   10.97404       58339.59    
   138.3662      1.3836622E+14   12.05171       171392.9    
   166.3528      1.6635279E+14   12.77903       354702.1    
 redshift sorgente =   7.0000002E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  2.0619922E-19   1.000000    
  2.4045298E-02  2.4045298E+10  2.0619922E-19   1.000000    
  2.8908806E-02  2.8908806E+10  2.0619922E-19   1.000000    
  3.4756031E-02  3.4756030E+10  2.0619922E-19   1.000000    
  4.1785937E-02  4.1785938E+10  3.0379756E-08   1.000000    
  5.0237749E-02  5.0237747E+10  1.3093791E-05   1.000013    
  6.0399055E-02  6.0399055E+10  7.4962736E-05   1.000075    
  7.2615631E-02  7.2615633E+10  2.1254703E-04   1.000213    
  8.7303191E-02  8.7303193E+10  4.5329332E-04   1.000453    
  0.1049615      1.0496152E+11  8.3963387E-04   1.000840    
  0.1261915      1.2619151E+11  1.4597932E-03   1.001461    
  0.1517156      1.5171556E+11  2.4486494E-03   1.002452    
  0.1824022      1.8240222E+11  3.9620297E-03   1.003970    
  0.2192957      2.1929571E+11  6.1973957E-03   1.006217    
  0.2636514      2.6365143E+11  9.3993424E-03   1.009444    
  0.3169787      3.1697872E+11  1.3770933E-02   1.013866    
  0.3810923      3.8109227E+11  1.9446393E-02   1.019637    
  0.4581737      4.5817368E+11  2.6432533E-02   1.026785    
  0.5508459      5.5084594E+11  3.4528848E-02   1.035132    
  0.6622624      6.6226245E+11  4.3419827E-02   1.044376    
  0.7962146      7.9621456E+11  5.2822236E-02   1.054242    
  0.9572604      9.5726043E+11  6.2221788E-02   1.064198    
   1.150880      1.1508802E+12  7.1140669E-02   1.073732    
   1.383662      1.3836624E+12  7.9356000E-02   1.082590    
   1.663528      1.6635279E+12  8.6581998E-02   1.090441    
   2.000000      2.0000005E+12  9.2826955E-02   1.097272    
   2.404530      2.4045295E+12  9.8404832E-02   1.103409    
   2.890880      2.8908803E+12  0.1037510       1.109324    
   3.475603      3.4756027E+12  0.1102376       1.116543    
   4.178594      4.1785934E+12  0.1193352       1.126748    
   5.023774      5.0237743E+12  0.1323279       1.141483    
   6.039905      6.0399047E+12  0.1508869       1.162865    
   7.261563      7.2615629E+12  0.1752810       1.191581    
   8.730319      8.7303190E+12  0.2104743       1.234263    
   10.49615      1.0496151E+13  0.2604320       1.297490    
   12.61915      1.2619150E+13  0.3346027       1.397385    
   15.17155      1.5171555E+13  0.4502651       1.568728    
   18.24022      1.8240221E+13  0.6263214       1.870716    
   21.92957      2.1929568E+13  0.9039542       2.469348    
   26.36514      2.6365141E+13   1.335973       3.803697    
   31.69787      3.1697872E+13   1.990374       7.318274    
   38.10922      3.8109224E+13   2.936165       18.84345    
   45.81736      4.5817361E+13   4.214416       67.65462    
   55.08458      5.5084583E+13   5.788337       326.4696    
   66.22623      6.6226236E+13   7.574044       1946.999    
   79.62144      7.9621446E+13   9.442021       12607.17    
   95.72604      9.5726038E+13   11.23853       76002.94    
   115.0880      1.1508801E+14   12.79589       360730.4    
   138.3662      1.3836622E+14   14.04765       1261290.    
   166.3528      1.6635279E+14   14.89263       2936220.    
 redshift sorgente =   8.0000004E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  2.3548762E-19   1.000000    
  2.4045298E-02  2.4045298E+10  2.3548762E-19   1.000000    
  2.8908806E-02  2.8908806E+10  2.3548762E-19   1.000000    
  3.4756031E-02  3.4756030E+10  2.3548762E-19   1.000000    
  4.1785937E-02  4.1785938E+10  3.9825562E-08   1.000000    
  5.0237749E-02  5.0237747E+10  1.5200631E-05   1.000015    
  6.0399055E-02  6.0399055E+10  8.6384585E-05   1.000086    
  7.2615631E-02  7.2615633E+10  2.4429438E-04   1.000244    
  8.7303191E-02  8.7303193E+10  5.2035035E-04   1.000520    
  0.1049615      1.0496152E+11  9.6320180E-04   1.000964    
  0.1261915      1.2619151E+11  1.6739293E-03   1.001675    
  0.1517156      1.5171556E+11  2.8067413E-03   1.002811    
  0.1824022      1.8240222E+11  4.5400700E-03   1.004550    
  0.2192957      2.1929571E+11  7.1000536E-03   1.007125    
  0.2636514      2.6365143E+11  1.0766073E-02   1.010824    
  0.3169787      3.1697872E+11  1.5770454E-02   1.015895    
  0.3810923      3.8109227E+11  2.2266651E-02   1.022516    
  0.4581737      4.5817368E+11  3.0260948E-02   1.030723    
  0.5508459      5.5084594E+11  3.9523322E-02   1.040315    
  0.6622624      6.6226245E+11  4.9692765E-02   1.050948    
  0.7962146      7.9621456E+11  6.0446378E-02   1.062311    
  0.9572604      9.5726043E+11  7.1192272E-02   1.073788    
   1.150880      1.1508802E+12  8.1389442E-02   1.084793    
   1.383662      1.3836624E+12  9.0779476E-02   1.095027    
   1.663528      1.6635279E+12  9.9039182E-02   1.104110    
   2.000000      2.0000005E+12  0.1061783       1.112020    
   2.404530      2.4045295E+12  0.1125565       1.119135    
   2.890880      2.8908803E+12  0.1186760       1.126005    
   3.475603      3.4756027E+12  0.1261082       1.134405    
   4.178594      4.1785934E+12  0.1365243       1.146283    
   5.023774      5.0237743E+12  0.1514001       1.163462    
   6.039905      6.0399047E+12  0.1726404       1.188439    
   7.261563      7.2615629E+12  0.2005556       1.222082    
   8.730319      8.7303190E+12  0.2408193       1.272291    
   10.49615      1.0496151E+13  0.2979661       1.347116    
   12.61915      1.2619150E+13  0.3828287       1.466427    
   15.17155      1.5171555E+13  0.5152146       1.673998    
   18.24022      1.8240221E+13  0.7167786       2.047826    
   21.92957      2.1929568E+13   1.034605       2.813995    
   26.36514      2.6365141E+13   1.529224       4.614595    
   31.69787      3.1697872E+13   2.278131       9.758420    
   38.10922      3.8109224E+13   3.360056       28.79082    
   45.81736      4.5817361E+13   4.821288       124.1248    
   55.08458      5.5084583E+13   6.619654       749.6854    
   66.22623      6.6226236E+13   8.658587       5759.388    
   79.62144      7.9621446E+13   10.79051       48557.99    
   95.72604      9.5726038E+13   12.84074       377280.8    
   115.0880      1.1508801E+14   14.61569       2225939.    
   138.3662      1.3836622E+14   16.03995       9248292.    
   166.3528      1.6635279E+14   17.00159      2.4193454E+07
 redshift sorgente =   9.0000005E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  2.6473386E-19   1.000000    
  2.4045298E-02  2.4045298E+10  2.6473386E-19   1.000000    
  2.8908806E-02  2.8908806E+10  2.6473386E-19   1.000000    
  3.4756031E-02  3.4756030E+10  2.6473386E-19   1.000000    
  4.1785937E-02  4.1785938E+10  5.0547829E-08   1.000000    
  5.0237749E-02  5.0237747E+10  1.7366543E-05   1.000017    
  6.0399055E-02  6.0399055E+10  9.7984666E-05   1.000098    
  7.2615631E-02  7.2615633E+10  2.7638761E-04   1.000276    
  8.7303191E-02  8.7303193E+10  5.8798265E-04   1.000588    
  0.1049615      1.0496152E+11  1.0876748E-03   1.001088    
  0.1261915      1.2619151E+11  1.8894644E-03   1.001891    
  0.1517156      1.5171556E+11  3.1669040E-03   1.003172    
  0.1824022      1.8240222E+11  5.1211184E-03   1.005134    
  0.2192957      2.1929571E+11  8.0070393E-03   1.008039    
  0.2636514      2.6365143E+11  1.2138795E-02   1.012213    
  0.3169787      3.1697872E+11  1.7778033E-02   1.017937    
  0.3810923      3.8109227E+11  2.5097456E-02   1.025415    
  0.4581737      4.5817368E+11  3.4102451E-02   1.034691    
  0.5508459      5.5084594E+11  4.4533245E-02   1.045540    
  0.6622624      6.6226245E+11  5.5983227E-02   1.057580    
  0.7962146      7.9621456E+11  6.8090051E-02   1.070462    
  0.9572604      9.5726043E+11  8.0183163E-02   1.083485    
   1.150880      1.1508802E+12  9.1659673E-02   1.095992    
   1.383662      1.3836624E+12  0.1022247       1.107632    
   1.663528      1.6635279E+12  0.1115185       1.117974    
   2.000000      2.0000005E+12  0.1195522       1.126992    
   2.404530      2.4045295E+12  0.1267316       1.135112    
   2.890880      2.8908803E+12  0.1336268       1.142966    
   3.475603      3.4756027E+12  0.1420094       1.152587    
   4.178594      4.1785934E+12  0.1537488       1.166198    
   5.023774      5.0237743E+12  0.1705143       1.185915    
   6.039905      6.0399047E+12  0.1944435       1.214635    
   7.261563      7.2615629E+12  0.2258889       1.253436    
   8.730319      8.7303190E+12  0.2712336       1.311581    
   10.49615      1.0496151E+13  0.3355826       1.398755    
   12.61915      1.2619150E+13  0.4311609       1.539043    
   15.17155      1.5171555E+13  0.5803205       1.786611    
   18.24022      1.8240221E+13  0.8074816       2.242254    
   21.92957      2.1929568E+13   1.165634       3.207957    
   26.36514      2.6365141E+13   1.723074       5.601723    
   31.69787      3.1697872E+13   2.566740       13.02330    
   38.10922      3.8109224E+13   3.785057       44.03819    
   45.81736      4.5817361E+13   5.429363       228.0040    
   55.08458      5.5084583E+13   7.452074       1723.434    
   66.22623      6.6226236E+13   9.743761       17047.54    
   79.62144      7.9621446E+13   12.13892       187009.6    
   95.72604      9.5726038E+13   14.44214       1871294.    
   115.0880      1.1508801E+14   16.43345      1.3707407E+07
